player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence
pitcher,CIN,CHC,Rhett Lowder,695076,,,Probable Starter,,5.02,15.0,2.8,4.92,3.82,2.15,3.412,4.236,1.942,2.763,5.0,4.588,0.777,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,CHC,CIN,David Peterson,656849,,,Probable Starter,,4.91,15.0,2.97,5.01,3.78,2.63,3.412,4.144,2.6,2.703,4.909,5.406,0.777,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,LAD,DET,Tarik Skubal,669373,,,Probable Starter,,5.67,17.0,2.84,5.43,7.94,1.62,8.875,7.005,1.558,1.79,5.248,6.139,0.777,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,MIA,WSH,Eury Pérez,691587,,,Probable Starter,,5.38,16.0,2.61,4.53,7.04,1.93,7.211,6.879,1.942,1.908,4.25,5.628,0.777,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,WSH,MIA,Jackson Kent,800600,,,Probable Starter,,4.55,14.0,2.73,4.23,4.01,2.73,3.875,4.151,2.6,3.132,4.25,4.157,0.777,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,KC,CLE,Michael Wacha,608379,,,Probable Starter,,5.11,15.0,2.95,5.82,4.54,1.62,4.775,4.309,1.625,1.613,5.875,5.621,0.777,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,CLE,KC,Tanner Bibee,676440,,,Probable Starter,,5.51,17.0,3.12,6.25,5.18,1.36,4.775,5.588,1.227,1.739,6.3,6.06,0.932,1.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,HOU,NYM,Hunter Brown,686613,,,Probable Starter,,5.38,16.0,2.79,4.38,5.53,2.69,5.35,5.711,2.6,2.958,4.25,4.911,0.777,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,NYM,HOU,Christian Scott,681035,,,Probable Starter,,5.02,15.0,2.83,4.51,6.41,2.64,6.607,6.209,2.6,2.763,4.25,5.526,0.777,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,SD,TB,Casey Mize,663554,,,Probable Starter,,5.02,15.0,2.61,4.84,4.51,1.61,4.775,4.236,1.558,1.783,4.664,5.526,0.777,0.838,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,TB,SD,Shane McClanahan,663556,,,Probable Starter,,4.61,14.0,2.48,4.42,4.84,1.63,4.786,4.9,1.625,1.638,4.25,5.075,0.777,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,SEA,TOR,Emerson Hancock,676106,,,Probable Starter,,5.38,16.0,2.69,5.01,5.28,1.65,5.062,5.506,1.558,1.908,4.857,5.628,0.777,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,TOR,SEA,Dylan Cease,656302,,,Probable Starter,,5.51,17.0,2.71,4.61,8.23,2.21,8.875,7.579,1.942,3.03,4.25,6.06,0.733,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,COL,ATL,Tomoyuki Sugano,608372,,,Probable Starter,,5.11,15.0,3.0,5.9,3.53,1.67,3.412,3.647,1.625,1.814,5.875,6.013,0.777,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,ATL,COL,Grant Holmes,656550,,,Probable Starter,,4.61,14.0,2.88,4.75,3.83,2.58,3.462,4.208,2.6,2.538,4.664,5.075,0.777,0.856,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,BOS,NYY,Patrick Sandoval,663776,,,Probable Starter,,5.02,15.0,2.99,5.73,4.96,1.84,4.775,5.144,1.865,1.783,5.778,5.526,0.777,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,NYY,BOS,Cam Schlittler,693645,,,Probable Starter,,5.51,17.0,2.58,4.74,7.13,1.6,7.211,7.048,1.558,1.739,4.664,5.031,0.777,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,TEX,MIL,Cody Bradford,674003,,,Probable Starter,,4.61,14.0,3.19,6.07,4.07,1.81,3.412,4.724,1.872,1.638,5.858,6.914,1.0,0.856,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,MIL,TEX,Logan Henderson,701656,,,Probable Starter,,5.11,15.0,2.54,4.86,5.59,1.37,5.762,5.427,1.227,1.814,4.664,5.621,0.777,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,CWS,MIN,Luis Castillo,622491,,,Probable Starter,,5.02,15.0,2.89,5.61,4.51,1.66,4.786,4.236,1.625,1.783,5.778,4.951,0.777,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,MIN,CWS,Dean Kremer,665152,,,Probable Starter,,5.02,15.0,2.73,4.84,4.51,1.93,4.786,4.236,1.942,1.912,4.664,5.526,0.777,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,PIT,STL,Jared Jones,683003,,,Probable Starter,,5.02,15.0,2.14,3.53,5.34,1.51,5.35,5.335,1.417,1.783,3.263,4.588,0.777,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,STL,PIT,Quinn Mathews,687273,,,Probable Starter,,4.61,14.0,2.85,4.57,3.99,2.74,4.091,3.89,2.6,3.175,4.664,4.214,0.777,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,PHI,LAA,Andrew Painter,691725,,,Probable Starter,,4.61,14.0,2.71,5.12,3.65,1.66,3.412,3.89,1.625,1.756,5.346,4.214,0.777,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,LAA,PHI,Reid Detmers,672282,,,Probable Starter,,5.02,15.0,2.68,4.84,6.55,1.84,6.667,6.427,1.865,1.783,4.664,5.526,0.777,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,BAL,ATH,Brandon Young,687064,,,Probable Starter,,5.38,16.0,3.06,6.05,4.65,1.7,4.775,4.534,1.625,1.908,6.082,5.915,0.777,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
